city,cityLabel,city_population,city_coordinate_location,sister,sisterLabel,sister_population,sister_coordinate_location
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q8621,Terni,111189,Point(12.65 42.566666666)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q8652,Miami,417650,Point(-80.216666666 25.783333333)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q8678,Rio de Janeiro,6747815,Point(-43.196388888 -22.908333333)
http://www.wikidata.org/entity/Q48278,Medellín,2529403,Point(-75.574827777 6.244747222),http://www.wikidata.org/entity/Q8692,Bilbao,350184,Point(-2.953333333 43.262222222)
http://www.wikidata.org/entity/Q47554,Toruń,201447,Point(18.616666666 53.016666666),http://www.wikidata.org/entity/Q10282,Pamplona,203944,Point(-1.65 42.816666666)
http://www.wikidata.org/entity/Q47772,San Carlos de Bariloche,112887,Point(-71.3 -41.15),http://www.wikidata.org/entity/Q10302,Sestriere,928,Point(6.883333333 44.95)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q11736,Tientsin,13245000,Point(117.205555555 39.146666666)
http://www.wikidata.org/entity/Q47492,Gaza,515556,Point(34.45 31.516666666),http://www.wikidata.org/entity/Q15678,Cáceres,96255,Point(-6.371111111 39.473055555)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q15682,Cadice,115439,Point(-6.2975 36.535)
http://www.wikidata.org/entity/Q48338,Kayseri,1389680,Point(35.4875 38.7225),http://www.wikidata.org/entity/Q18459,Yongin,971327,Point(127.201111111 37.236111111)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q20934,Incheon,2913024,Point(126.648611111 37.463888888)
http://www.wikidata.org/entity/Q48320,Kōbe,1513193,Point(135.183 34.6913),http://www.wikidata.org/entity/Q23482,Marsiglia,868277,Point(5.376388888 43.296666666)
http://www.wikidata.org/entity/Q47772,San Carlos de Bariloche,112887,Point(-71.3 -41.15),http://www.wikidata.org/entity/Q24276,parrocchia di La Massana,10076,Point(1.516388888 42.544166666)
